target,feature_set,split,model,budget,seed,target_observed_max,target_observed_std,rmse_top5row,spearman_top5row,recall_top5row,split_coverage_top5row,model_candidate_eligible,experiment_passes_quality_gate,quality_gate_reasons
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,42,11.301705360412598,1.4379472732543943,1.1269303166497362,0.6487439641633103,0.2378048780487804,0.8946220418885006,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,43,11.301705360412598,1.4379472732543943,1.3103895120663225,0.3200992409475757,0.002507312996239,0.8897920802423989,True,False,low_top5_recall
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,44,11.301705360412598,1.4379472732543943,1.3779886153618104,0.275635402535172,0.000394632991318,0.8992087452396456,True,False,low_top5_recall
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,45,11.301705360412598,1.4379472732543943,1.20256774083877,0.5705090333410101,0.1262096774193548,0.9203161545285912,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,46,11.301705360412598,1.4379472732543943,1.2702183044706123,0.4879503620862215,0.0688665710186513,0.9363518943742823,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,42,11.301705360412598,1.4379472732543943,1.0650886186917443,0.6995671726742985,0.2166979362101313,0.90076693951263,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,43,11.301705360412598,1.4379472732543943,1.207547784104751,0.6239310912094022,0.0622649394066025,0.9052554591996655,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,44,11.301705360412598,1.4379472732543943,1.3081911039914296,0.5155560507996123,0.2261247040252565,0.8974723258154265,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,45,11.301705360412598,1.4379472732543943,1.138148056544373,0.6454087949005459,0.0798387096774193,0.9220904911686426,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,46,11.301705360412598,1.4379472732543943,1.153656366625478,0.6106194828254957,0.1444285031085605,0.9268800229621124,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,42,11.301705360412598,1.4379472732543943,1.0684334837619398,0.6804142011227697,0.1266416510318949,0.901423646128949,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,43,11.301705360412598,1.4379472732543943,1.1082784286660154,0.6507621542807398,0.1019640618470539,0.8932608922787587,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,44,11.301705360412598,1.4379472732543943,1.090248610892439,0.6532207120937429,0.2028413575374901,0.8959924228970579,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,45,11.301705360412598,1.4379472732543943,1.047815941658664,0.6800869333145483,0.2298387096774193,0.9152552625211712,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,46,11.301705360412598,1.4379472732543943,1.0868393576531443,0.6257590454962891,0.1855571496891439,0.922478951396862,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,42,11.301705360412598,1.4379472732543943,0.997867683649452,0.711916033894075,0.25046904315197,0.9044491873255625,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,43,11.301705360412598,1.4379472732543943,1.0011409426706268,0.7128612401620068,0.1934809862097785,0.891881726047435,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,44,11.301705360412598,1.4379472732543943,1.1231144766401049,0.6543168390568785,0.2762430939226519,0.8970382209593717,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,45,11.301705360412598,1.4379472732543943,1.0241727251871222,0.7034933047918969,0.1709677419354838,0.9166666666666666,True,True,PASS
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,46,11.301705360412598,1.4379472732543943,0.9811086042976704,0.7045875995881214,0.2649450023912004,0.9227420589360888,True,True,PASS
